Unnamed: 0,Job Id,Salary Range (K),Min Salary (K),Max Salary (K),Work Type,Job Posting Date,Job Title,Job Description,skills,Company,Broader Category,Average Salary (K),Year-Quarter,Job Minimum Experience,Job Maximum Experience,Job URL,Job Salary Range
1013.0,758386000000000.0,42.0,62.0,104.0,Full-Time,2022-01-25,Software Engineer,"DevOps Engineers focus on automating and streamlining the development and deployment processes. They work to improve collaboration between development and IT operations, implementing tools and practices for continuous integration and continuous delivery (CI/CD).","['Automation and scripting', 'Python', 'Bash', 'Continuous', 'Integration', 'Continuous', 'Deployment', 'CI', 'CD', 'Containerization', 'Docker', 'Kubernetes', 'Infrastructure as', 'Code', 'Terraform', 'Ansible', 'Cloud platforms', 'AWS', 'Azure', 'GCP', 'Monitoring and troubleshooting skills']",Iluka Resources,Information Technology,83.0,2022Q1,4.0,13.0,,
1060.0,659329000000000.0,36.0,55.0,91.0,Contract,2023-11-06,Data Engineer,"A Big Data Engineer develops and manages big data solutions, including data storage, processing, and analysis platforms, to extract valuable insights and support data-driven decisions.","['Big data technologies', 'Hadoop', 'Spark', 'Data processing and analysis', 'Distributed computing']",Salesforce,Information Technology,73.0,2023Q4,2.0,13.0,,
1877.0,1402971789346227.0,58.0,57.0,115.0,Full-Time,2023-07-22,SEO Specialist,"Content SEO Strategists create SEO strategies specifically for content, focusing on keyword integration, content quality, and user engagement to boost organic traffic.","['Content strategy', 'O content optimization', 'Content marketing', 'Keyword mapping', 'Analytics']",PulteGroup,Information Technology,86.0,2023Q3,1.0,10.0,,
2055.0,2956548998254365.0,27.0,58.0,85.0,Intern,2023-04-02,QA Analyst,"Software QA Testers ensure the quality of software products by designing and executing test cases, identifying defects, and reporting issues to developers. They play a critical role in ensuring software reliability and functionality.","['Software quality assurance', 'Test planning', 'Test case design', 'Test execution', 'Defect tracking', 'Test automation', 'Selenium']",Anglo American plc,Information Technology,71.5,2023Q2,3.0,10.0,,
2778.0,2057269353234444.0,46.0,56.0,102.0,Full-Time,2023-01-21,Network Administrator,"Manage and maintain an organizations IT infrastructure, including servers, hardware, and software systems.","['System administration', 'Server maintenance', 'Active', 'Directory', 'Backup and recovery', 'Cloud computing', 'AWS', 'Azure', 'Troubleshooting', 'T security best practices', 'Collaboration', 'Problem', 'Attention to detail', 'Communication skills', 'Technical knowledge']",Entergy,Information Technology,79.0,2023Q1,4.0,15.0,,
3395.0,1129151087462095.0,49.0,60.0,109.0,Part-Time,2023-06-30,Software Engineer,"A Backend Developer is tasked with building and maintaining the server-side logic and database infrastructure of web applications. They work on the core functionality, data storage, and server communication to ensure the application runs smoothly and efficiently.","['Proficiency in one or more backend programming languages', 'Java', 'Python', 'Node', 'Ruby', 'I development', 'Database management', 'L or', 'No', 'Server management and deployment', 'Security best practices', 'Knowledge of web frameworks', 'Express', 'Django']",Go-Ahead Group,Information Technology,84.5,2023Q2,3.0,15.0,,
3591.0,2101077566506998.0,39.0,58.0,97.0,Full-Time,2021-11-23,Data Entry Clerk,"An Administrative Assistant provides administrative support to the organization, including scheduling, document management, and assisting in day-to-day operations.","['Office management', 'Administrative tasks', 'Communication and organization']",Clorox Company,Information Technology,77.5,2021Q4,3.0,9.0,,
3781.0,1305211662873776.0,19.0,61.0,80.0,Contract,2022-01-07,UI Developer,A UX/UI Designer focuses on enhancing user experiences by designing intuitive interfaces. They consider user needs and preferences to create visually appealing and functional designs.,"['User experience', 'UX', 'User interface', 'UI', 'Wireframing and prototyping', 'Usability testing', 'Design tools like', 'Sketch or', 'Figma']",Ping An Insurance,Information Technology,70.5,2022Q1,1.0,13.0,,
4012.0,124872000000000.0,53.0,55.0,108.0,Intern,2021-12-25,Software Engineer,"A Frontend Developer is responsible for designing and implementing user interfaces for web applications. They collaborate with designers to create visually appealing and responsive web pages, ensuring a seamless user experience across different devices and browsers.","['Proficiency in', 'CSS', 'Java', 'Script', 'Experience with frontend frameworks like', 'React', 'Angular', 'Vue', 'Responsive web design', 'Cross', 'Version control', 'Git', 'Frontend performance optimization']",Analog Devices,Information Technology,81.5,2021Q4,2.0,9.0,,
4237.0,2815015418573786.0,32.0,63.0,95.0,Contract,2022-07-13,UX/UI Designer,Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,"['Interaction design principles', 'User behavior and psychology', 'Wireframing and prototyping tools', 'Animation and micro', 'Collaborative design processes']",Bodycote,Information Technology,79.0,2022Q3,3.0,11.0,,
4304.0,2289660686839257.0,35.0,60.0,95.0,Temporary,2023-10-01,Interior Designer,"A Hospitality Interior Designer specializes in creating inviting and functional interiors for hotels, restaurants, and other hospitality establishments.","['Hospitality interior design', 'Hotel and restaurant design', 'Branding and theme integration', 'Customer experience design']",Hikvision,Information Technology,77.5,2023Q4,0.0,14.0,,
4480.0,766991000000000.0,31.0,56.0,87.0,Full-Time,2022-07-11,Web Developer,"Full-Stack Developers are skilled in both frontend and backend development. They can work on all aspects of web application development, from creating user interfaces to designing databases and server infrastructure, providing end-to-end solutions.","['Frontend and backend development', 'Database integration', 'Problem', 'I knowledge']",Cummins,Information Technology,71.5,2022Q3,2.0,15.0,,
5074.0,411263000000000.0,54.0,58.0,112.0,Temporary,2022-01-28,UX Researcher,Evaluate and improve the usability of websites and applications through user testing and analysis.,"['Usability evaluation', 'User interface assessment', 'Usability testing tools and techniques']",Verizon Communications,Information Technology,85.0,2022Q1,5.0,14.0,,
5959.0,2535900319898841.0,64.0,61.0,125.0,Part-Time,2021-09-23,Graphic Designer,"UI/UX Designers focus on creating user-friendly and visually appealing interfaces for digital products. They conduct user research, design wireframes and prototypes, and collaborate with development teams to ensure a seamless and enjoyable user experience.","['User interface', 'UI', 'User experience', 'UX', 'Wireframing and prototyping tools', 'Sketch', 'Figma', 'Usability testing', 'Information architecture', 'Interaction design', 'Mobile and responsive design']",Royal Caribbean Group,Information Technology,93.0,2021Q3,4.0,12.0,,
