Unnamed: 0,Job Id,Experience,Qualifications,Salary Range (K),Min Salary (K),Max Salary (K),Country,Work Type,Company Size,Job Posting Date,Predicted Industry,Job Title,Role,Job Portal,Job Description,Benefits,skills,Responsibilities,Company,Company Profile,Text,Cluster Name,Broader Category
1697,2985478544376208.0,0 to 15 Years,M.Tech,60-114,60,114,Singapore,Contract,76430,13/11/2022,9,Litigation Attorney,Family Law Attorney,Snagajob,"Family Law Attorneys deal with legal matters related to family relationships. They handle cases like divorce, child custody, adoption, and domestic disputes to provide legal guidance.","Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans","['Family law', 'Divorce proceedings', 'Child custody', 'Mediation', 'Legal counseling', 'Court representation']","Specialize in family law matters, such as divorce, child custody, and adoption. Advocate for clients in family court proceedings. Offer legal advice and mediation services.",Watsco,"{""Sector"":""Industrials"",""Industry"":""Wholesalers: Diversified"",""City"":""Miami"",""State"":""Florida"",""Zip"":""33133"",""Website"":""www.watsco.com"",""Ticker"":""WSO"",""CEO"":""Albert H. Nahmad""}","Litigation Attorney Specialize in family law matters, such as divorce, child custody, and adoption. Advocate for clients in family court proceedings. Offer legal advice and mediation services. Family law Divorce proceedings Child custody Mediation Legal counseling Court representation",Legal & Social Services,Legal Services
3574,1351188558449767.0,1 to 14 Years,M.Tech,64-108,64,108,Singapore,Intern,91494,5/12/2022,9,Legal Advisor,Corporate Counsel,Idealist,"As a Corporate Counsel, you will focus on legal matters related to corporate governance, mergers and acquisitions, and corporate compliance. You will draft and review corporate documents, oversee compliance programs, and handle complex legal negotiations. Your role includes managing legal relationships with external partners and providing strategic legal guidance to the company.","Life and Disability Insurance, Stock Options or Equity Grants, Employee Recognition Programs, Health Insurance, Social and Recreational Activities","['Corporate law', 'Compliance', 'Mergers and acquisitions', 'Corporate governance', 'Contract drafting', 'Risk management', 'Legal strategy', 'Due diligence']","Specialize in corporate law, advising companies on legal compliance, mergers and acquisitions, and corporate governance. Ensure legal risk mitigation and compliance with corporate regulations. Handle corporate transactions and contracts.",Dollar Tree,"{""Sector"":""Retail"",""Industry"":""Specialty Retailers: Other"",""City"":""Chesapeake"",""State"":""Virginia"",""Zip"":""23320"",""Website"":""www.dollartree.com"",""Ticker"":""DLTR"",""CEO"":""Rick Dreiling""}","Legal Advisor Specialize in corporate law, advising companies on legal compliance, mergers and acquisitions, and corporate governance. Ensure legal risk mitigation and compliance with corporate regulations. Handle corporate transactions and contracts. Corporate law Compliance Mergers and acquisitions Corporate governance Contract drafting Risk management Legal strategy Due diligence",Legal & Social Services,Legal Services
6298,2710809537086279.0,3 to 12 Years,BCA,57-91,57,91,Singapore,Intern,116088,22/8/2022,9,Social Worker,Child Welfare Worker,Jobs2Careers,"Work with at-risk children and families, assess needs, provide support, and ensure child safety and well-being.","Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans","['Child welfare policies and regulations', 'Child protective services', 'Child development', 'Crisis intervention', 'Case management', 'Cultural competence', 'Interviewing and assessment skills', 'Court procedures', 'Documentation', 'Empathy', 'Communication skills']",Provide support and counseling to children and families in need. Assess child safety and risk factors. Develop and implement care plans and interventions.,Chewy,"{""Sector"":""E-commerce"",""Industry"":""Internet Services and Retailing"",""City"":""Plantation"",""State"":""Florida"",""Zip"":""33322"",""Website"":""www.chewy.com"",""Ticker"":""CHWY"",""CEO"":""Sumit Singh""}",Social Worker Provide support and counseling to children and families in need. Assess child safety and risk factors. Develop and implement care plans and interventions. Child welfare policies and regulations Child protective services Child development Crisis intervention Case management Cultural competence Interviewing and assessment skills Court procedures Documentation Empathy Communication skills,Legal & Social Services,Legal Services
9763,1514622608720137.0,0 to 13 Years,M.Tech,64-113,64,113,Singapore,Temporary,77897,26/4/2022,9,Legal Advisor,In-House Counsel,SimplyHired,"In the role of In-House Counsel, you will provide legal support to the organization across various areas, including contracts, employment law, and regulatory compliance. You will draft legal documents, handle litigation matters, and advise on legal risks affecting day-to-day operations. Your role is crucial in ensuring the company operates within the bounds of the law.","Transportation Benefits, Professional Development, Bonuses and Incentive Programs, Profit-Sharing, Employee Discounts","['In', 'Legal advisory', 'Employment law', 'Intellectual property', 'Regulatory compliance', 'Dispute resolution', 'Contract review', 'Client counseling']","Serve as in-house legal counsel for organizations, managing legal issues and contracts internally. Provide legal training to staff and address legal questions and concerns.",Entergy,"{""Sector"":""Energy"",""Industry"":""Utilities: Gas and Electric"",""City"":""New Orleans"",""State"":""Louisiana"",""Zip"":""70113"",""Website"":""www.entergy.com"",""Ticker"":""ETR"",""CEO"":""Andrew S. Marsh""}","Legal Advisor Serve as in-house legal counsel for organizations, managing legal issues and contracts internally. Provide legal training to staff and address legal questions and concerns. In, house counsel Legal advisory Employment law Intellectual property Regulatory compliance Dispute resolution Contract review Client counseling",Legal & Social Services,Legal Services
15922,2574153332913465.0,4 to 13 Years,B.Tech,55-98,55,98,Singapore,Temporary,115581,4/2/2022,9,Paralegal,Corporate Paralegal,The Muse,"Provide legal support to corporate legal teams, assist with mergers and acquisitions, and manage corporate records.","Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)","['Corporate legal tasks', 'Document drafting', 'Compliance', 'Corporate governance', 'Contract management', 'Due diligence', 'Entity formation', 'Communication with stakeholders', 'Attention to detail', 'Technology proficiency', 'Legal software proficiency', 'Legal research skills']","Support corporate legal matters, including mergers and acquisitions, contract drafting, and compliance. Maintain corporate records and filings. Assist in due diligence processes.",Lam Research,"{""Sector"":""Semiconductor"",""Industry"":""Semiconductors and Other Electronic Components"",""City"":""Fremont"",""State"":""California"",""Zip"":""94538"",""Website"":""www.lamresearch.com"",""Ticker"":""LRCX"",""CEO"":""Timothy M. Archer""}","Paralegal Support corporate legal matters, including mergers and acquisitions, contract drafting, and compliance. Maintain corporate records and filings. Assist in due diligence processes. Corporate legal tasks Document drafting Compliance Corporate governance Contract management Due diligence Entity formation Communication with stakeholders Attention to detail Technology proficiency Legal software proficiency Legal research skills",Legal & Social Services,Legal Services
16328,2028338338026236.8,5 to 11 Years,M.Tech,61-129,61,129,Singapore,Temporary,87805,8/8/2022,9,Legal Counsel,Intellectual Property Lawyer,Idealist,"An Intellectual Property Lawyer specializes in protecting and managing intellectual property rights, including patents, trademarks, and copyrights. They provide legal advice, handle trademark registration, patent applications, and enforce IP rights.","Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans","['Intellectual property law', 'Trademark and patent law', 'Copyright law', 'I', 'P portfolio management', 'Litigation and dispute resolution']","Protect and manage intellectual property rights, trademarks, patents, and copyrights. Conduct IP due diligence and trademark searches. Handle IP disputes and enforcement.",Wacker Chemie AG,"{""Sector"":""Chemicals"",""Industry"":""Chemicals"",""City"":""Munich"",""State"":""Bavaria"",""Zip"":""81675"",""Website"":""https://www.wacker.com/cms/en-us/home/home.html"",""Ticker"":""WCH.DE"",""CEO"":""Christian Hartel""}","Legal Counsel Protect and manage intellectual property rights, trademarks, patents, and copyrights. Conduct IP due diligence and trademark searches. Handle IP disputes and enforcement. Intellectual property law Trademark and patent law Copyright law IP portfolio management Litigation and dispute resolution",Legal & Social Services,Legal Services
16667,1918118991060870.0,3 to 10 Years,M.Tech,64-113,64,113,Singapore,Full-Time,72097,9/12/2022,9,Legal Secretary,Legal Assistant,Stack Overflow Jobs,"A Legal Assistant supports legal professionals by performing administrative and research tasks, organizing legal documents, and assisting with legal proceedings and documentation.","Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development","['Legal research', 'Document drafting', 'Communication skills', 'Legal software proficiency', 'Attention to detail']","Provide administrative support to legal professionals, including document preparation and filing. Maintain legal files and records. Schedule appointments and manage calendars.",WHSmith,"{""Sector"":""Retail"",""Industry"":""Retail - Books & News"",""City"":""London"",""State"":""England"",""Zip"":""W6 0NP"",""Website"":""https://www.whsmithplc.co.uk/"",""Ticker"":""SMWH"",""CEO"":""Carl Cowling""}","Legal Secretary Provide administrative support to legal professionals, including document preparation and filing. Maintain legal files and records. Schedule appointments and manage calendars. Legal research Document drafting Communication skills Legal software proficiency Attention to detail",Legal & Social Services,Legal Services
31993,2021777285501187.2,5 to 12 Years,MBA,64-111,64,111,Singapore,Temporary,79637,17/8/2023,9,Legal Secretary,Legal Assistant,SimplyHired,"A Legal Assistant supports legal professionals by performing administrative and research tasks, organizing legal documents, and assisting with legal proceedings and documentation.","Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans","['Legal research', 'Document drafting', 'Communication skills', 'Legal software proficiency', 'Attention to detail']","Provide administrative support to legal professionals, including document preparation and filing. Maintain legal files and records. Schedule appointments and manage calendars.",Univar Solutions,"{""Sector"":""Chemicals"",""Industry"":""Wholesalers: Diversified"",""City"":""Downers Grove"",""State"":""Illinois"",""Zip"":""60515"",""Website"":""www.univarsolutions.com"",""Ticker"":""UNVR"",""CEO"":""David C. Jukes""}","Legal Secretary Provide administrative support to legal professionals, including document preparation and filing. Maintain legal files and records. Schedule appointments and manage calendars. Legal research Document drafting Communication skills Legal software proficiency Attention to detail",Legal & Social Services,Legal Services
32838,827913000000000.0,0 to 14 Years,M.Com,56-128,56,128,Singapore,Intern,68778,20/10/2022,9,Legal Counsel,Corporate Attorney,Idealist,"Corporate Attorneys provide legal counsel and representation to organizations. They handle legal matters, contracts, mergers, acquisitions, and ensure compliance with laws and regulations relevant to the business.","Transportation Benefits, Professional Development, Bonuses and Incentive Programs, Profit-Sharing, Employee Discounts","['Corporate law and regulations', 'Contract drafting and negotiation', 'Legal research and analysis', 'Risk management', 'Excellent communication and negotiation skills']","Provide legal advice and guidance on corporate matters, contracts, and regulatory compliance. Draft and review legal documents and agreements. Represent the company in legal proceedings.",Burlington Stores,"{""Sector"":""Retail"",""Industry"":""Specialty Retailers: Apparel"",""City"":""Burlington"",""State"":""New Jersey"",""Zip"":""8016"",""Website"":""www.burlingtoninvestors.com"",""Ticker"":""BURL"",""CEO"":""Michael B. O Sullivan""}","Legal Counsel Provide legal advice and guidance on corporate matters, contracts, and regulatory compliance. Draft and review legal documents and agreements. Represent the company in legal proceedings. Corporate law and regulations Contract drafting and negotiation Legal research and analysis Risk management Excellent communication and negotiation skills",Legal & Social Services,Legal Services
40963,520714000000000.0,0 to 8 Years,B.Tech,57-104,57,104,Singapore,Contract,23222,13/2/2022,9,Legal Assistant,Paralegal,FlexJobs,"Assist lawyers with legal research, document preparation, and case management in law firms or legal departments.","Casual Dress Code, Social and Recreational Activities, Employee Referral Programs, Health and Wellness Facilities, Life and Disability Insurance","['Legal research', 'Document drafting', 'Case management', 'E', 'Legal databases', 'Lexis', 'Nexis', 'Client communication', 'Deposition preparation', 'Trial support', 'Ethics and confidentiality', 'Attention to detail', 'Communication skills', 'Legal software proficiency']","Assist lawyers in legal research, document preparation, and case management. Draft legal documents and pleadings. Organize and maintain case files.",Airbnb,"{""Sector"":""Technology"",""Industry"":""Internet Services and Retailing"",""City"":""San Francisco"",""State"":""California"",""Zip"":""94103"",""Website"":""www.airbnb.com"",""Ticker"":""ABNB"",""CEO"":""Brian Chesky""}","Legal Assistant Assist lawyers in legal research, document preparation, and case management. Draft legal documents and pleadings. Organize and maintain case files. Legal research Document drafting Case management E, filing Legal databases , e, g,  LexisNexis,  Client communication Deposition preparation Trial support Ethics and confidentiality Attention to detail Communication skills Legal software proficiency",Legal & Social Services,Legal Services
